ID,Eintrags_ID,Klasse,Name,Vorname,Rufname,Geburtstag,Geburtsort,Geburtsland,Geschlecht,Religion,RU,Land,Land2,Strasse,HausNr,PLZ,Ort,Teilort,Muttersprache,Schuleintrittam,Erz1Name,Erz1Vorname,Erz1Geschlecht,Erz1Strasse,Erz1HausNr,Erz1PLZ,Erz1Ort,Erz1Teilort,Erz1Telefon1,Erz1Telefon2,Erz1Handy,Erz1Email,Erz2Name,Erz2Vorname,Erz2Geschlecht,Erz2Strasse,Erz2HausNr,Erz2PLZ,Erz2Ort,Erz2Teilort,Erz2Telefon1,Erz2Telefon2,Erz2Handy,Erz2Email,Profil1,Profil1von,Profil1bis,AbgebendeSchule,SonstigeSchule,Sprachwahl,Fremdsprache1,Fremdsprache2,Foto_Einw,Geschwister,Klassenpartner,vorhKlasse,erz2sorgerecht,erz2auskunftsrecht,reinw,schwimmen,impfung
1000,50000,5,Meyer,Leon,Leon,01.01.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,1,77654,Beispielstadt,,deutsch,2022,Meyer,Elternteil A,w,Musterstraße,1,77654,Beispielstadt,,00000 000000,,0000 0000000,familie000@example.invalid,Meyer,Elternteil B,m,Musterstraße,1,77654,Beispielstadt,,,,0000 0000000,familie000.b@example.invalid,5y,,,GS-00,,E,E,L,Ja,,"Mia Hofmann, Lena Meier",4a,Ja,Ja,Nein,Ja,Nein
1001,50001,5,Hofmann,Mia,,02.02.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,2,77654,Beispielstadt,,deutsch,2022,Hofmann,Elternteil A,w,Musterstraße,2,77654,Beispielstadt,,00000 000000,,0000 0000000,familie001@example.invalid,Hofmann,Elternteil B,m,Musterstraße,2,77654,Beispielstadt,,,,0000 0000000,familie001.b@example.invalid,5z,,,GS-01,,E,E,F,Nein,,"Paul Kaiser, Elias Schulze",4b,Ja,Ja,Ja,Ja,Ja
1002,50002,5,Kaiser,Paul,,03.03.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,3,77654,Beispielstadt,,deutsch,2022,Kaiser,Elternteil A,w,Musterstraße,3,77654,Beispielstadt,,00000 000000,,0000 0000000,familie002@example.invalid,Kaiser,Elternteil B,m,Musterstraße,3,77654,Beispielstadt,,,,0000 0000000,familie002.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Emma Schulz, Sophie Herrmann",4c,Ja,Ja,Ja,Ja,Ja
1003,50003,5,Schulz,Emma,,04.04.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,4,77654,Beispielstadt,,deutsch,2022,Schulz,Elternteil A,w,Musterstraße,4,77654,Beispielstadt,,00000 000000,,0000 0000000,familie003@example.invalid,Schulz,Elternteil B,m,Musterstraße,4,77654,Beispielstadt,,,,0000 0000000,familie003.b@example.invalid,5x,,,GS-03,,E,E,L,Nein,,,4d,Ja,Ja,Ja,Ja,Nein
1004,50004,5,Schmitt,Finn,Finn,05.05.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,5,77654,Beispielstadt,,deutsch,2022,Schmitt,Elternteil A,w,Musterstraße,5,77654,Beispielstadt,,00000 000000,,0000 0000000,familie004@example.invalid,Schmitt,Elternteil B,m,Musterstraße,5,77654,Beispielstadt,,,,0000 0000000,familie004.b@example.invalid,5z,,,GS-04,,E,E,F,Ja,,"Hanna Lang, Laura Fuchs",4a,Ja,Ja,Ja,Ja,Ja
1005,50005,5,Lang,Hanna,,06.06.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,6,77654,Beispielstadt,,deutsch,2022,Lang,Elternteil A,w,Musterstraße,6,77654,Beispielstadt,,00000 000000,,0000 0000000,familie005@example.invalid,Lang,Elternteil B,m,Musterstraße,6,77654,Beispielstadt,,,,0000 0000000,familie005.b@example.invalid,5z,,,GS-05,,E,E,F,Nein,,"Lucaa Koch, Niklas Scholz",4b,Ja,Ja,Nein,Ja,Ja
1006,50006,5,Koch,Luca,,07.07.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,7,77654,Beispielstadt,,deutsch,2022,Koch,Elternteil A,w,Musterstraße,7,77654,Beispielstadt,,00000 000000,,0000 0000000,familie006@example.invalid,Koch,Elternteil B,m,Musterstraße,7,77654,Beispielstadt,,,,0000 0000000,familie006.b@example.invalid,5z,,,GS-00,,E,E,L,Ja,,"Lena Meier, Nele Jung",4c,Ja,Ja,Ja,Ja,Nein
1007,50007,5,Meier,Lena,,08.08.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,8,77654,Beispielstadt,,deutsch,2022,Meier,Elternteil A,w,Musterstraße,8,77654,Beispielstadt,,00000 000000,,0000 0000000,familie007@example.invalid,Meier,Elternteil B,m,Musterstraße,8,77654,Beispielstadt,,,,0000 0000000,familie007.b@example.invalid,5y,,,GS-01,,E,E,F,Nein,,"Noah Weiß, David Schmidt",4d,Ja,Ja,Ja,Ja,Ja
1008,50008,5,Weiß,Noah,Noah,09.09.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,9,77654,Beispielstadt,,deutsch,2022,Weiß,Elternteil A,w,Musterstraße,9,77654,Beispielstadt,,00000 000000,,0000 0000000,familie008@example.invalid,Weiß,Elternteil B,m,Musterstraße,9,77654,Beispielstadt,,,,0000 0000000,familie008.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Lea Klein, Ida Weber",4a,Ja,Ja,Ja,Ja,Ja
1009,50009,5,Klein,Lea,,10.10.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,10,77654,Beispielstadt,,deutsch,2022,Klein,Elternteil A,w,Musterstraße,10,77654,Beispielstadt,,00000 000000,,0000 0000000,familie009@example.invalid,Klein,Elternteil B,m,Musterstraße,10,77654,Beispielstadt,,,,0000 0000000,familie009.b@example.invalid,5z,,,GS-03,,E,E,L,Nein,,"Elias Schulze, Tom Becker",4b,Ja,Ja,Ja,Ja,Nein
1010,50010,5,Schulze,Elias,,11.11.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,11,77654,Beispielstadt,,deutsch,2022,Schulze,Elternteil A,w,Musterstraße,11,77654,Beispielstadt,,00000 000000,,0000 0000000,familie010@example.invalid,Schulze,Elternteil B,m,Musterstraße,11,77654,Beispielstadt,,,,0000 0000000,familie010.b@example.invalid,5z,,,GS-04,,E,E,F,Ja,,"Marie Müller, Pia Schäfer",4c,Ja,Ja,Nein,Ja,Ja
1011,50011,5,Müller,Marie,,12.12.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,12,77654,Beispielstadt,,deutsch,2022,Müller,Elternteil A,w,Musterstraße,12,77654,Beispielstadt,,00000 000000,,0000 0000000,familie011@example.invalid,Müller,Elternteil B,m,Musterstraße,12,77654,Beispielstadt,,,,0000 0000000,familie011.b@example.invalid,5z,,,GS-05,,E,E,F,Nein,,"Ben Neumann, Erik Richter",4d,Ja,Ja,Ja,Ja,Ja
1012,50012,5,Neumann,Ben,Ben,13.01.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,13,77654,Beispielstadt,,deutsch,2022,Neumann,Elternteil A,w,Musterstraße,13,77654,Beispielstadt,,00000 000000,,0000 0000000,familie012@example.invalid,Neumann,Elternteil B,m,Musterstraße,13,77654,Beispielstadt,,,,0000 0000000,familie012.b@example.invalid,5x,,,GS-00,,E,E,L,Ja,,"Sophie Herrmann, Mara Schröder",4a,Ja,Ja,Ja,Ja,Nein
1013,50013,5,Herrmann,Sophie,,14.02.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,14,77654,Beispielstadt,,deutsch,2022,Herrmann,Elternteil A,w,Musterstraße,14,77654,Beispielstadt,,00000 000000,,0000 0000000,familie013@example.invalid,Herrmann,Elternteil B,m,Musterstraße,14,77654,Beispielstadt,,,,0000 0000000,familie013.b@example.invalid,5z,,,GS-01,,E,E,F,Nein,,,4b,Ja,Ja,Ja,Ja,Ja
